tube,temp,temp_var,mean_temp,resource,species,exposed
616,15,0,15,1,C,0
617,15,0,15,1,C,1
618,15,0,15,1,C,1
619,15,0,15,1,C,1
620,15,0,15,1,C,1
621,15,0,15,1,C,1
622,15,0,15,1,C,1
623,15,0,15,1,C,1
624,15,0,15,1,C,1
625,15,0,15,1,C,1
626,15,0,15,1,C,1
627,15,0,15,1,C,1
628,15,0,15,1,C,1
629,15,0,15,1,C,1
630,15,0,15,1,C,1
631,15,0,15,1,C,1
632,15,0,15,1,C,1
633,15,0,15,1,C,1
634,15,0,15,1,C,1
635,15,0,15,1,C,1
636,15,0,15,1,C,1
637,15,0,15,1,C,1
638,15,0,15,1,C,1
639,15,0,15,1,C,1
640,15,0,15,1,C,1
641,15,0,15,1,C,1
642,15,0,15,1,C,1
643,15,0,15,1,C,1
644,15,0,15,1,C,1
645,15,0,15,1,C,1
646,15,0,15,1,C,1
647,15,0,15,1,C,1
648,15,0,15,1,C,1
649,15,0,15,1,C,1
650,15,0,15,1,C,1
651,20,0,20,1,C,0
652,20,0,20,1,C,0
653,20,0,20,1,C,0
654,20,0,20,1,C,0
655,20,0,20,1,C,0
656,20,0,20,1,C,0
657,20,0,20,1,C,0
658,20,0,20,1,C,0
659,20,0,20,1,C,0
660,20,0,20,1,C,0
661,20,0,20,1,C,0
662,20,0,20,1,C,0
663,20,0,20,1,C,0
664,20,0,20,1,C,0
665,20,0,20,1,C,0
666,20,0,20,1,C,0
667,20,0,20,1,C,1
668,20,0,20,1,C,1
669,20,0,20,1,C,1
670,20,0,20,1,C,1
671,20,0,20,1,C,1
672,20,0,20,1,C,1
673,20,0,20,1,C,1
674,20,0,20,1,C,1
675,20,0,20,1,C,1
678,20,0,20,1,C,1
679,20,0,20,1,C,1
680,20,0,20,1,C,1
681,20,0,20,1,C,1
682,20,0,20,1,C,1
683,20,0,20,1,C,1
684,20,0,20,1,C,1
685,20,0,20,1,C,1
686,20,0,20,1,C,1
687,20,0,20,1,C,1
688,20,0,20,1,C,1
689,20,0,20,1,C,1
690,20,0,20,1,C,1
691,20,0,20,1,C,1
692,20,0,20,1,C,1
693,20,0,20,1,C,1
694,20,0,20,1,C,1
695,20,0,20,1,C,1
696,20,0,20,1,C,1
697,20,0,20,1,C,1
698,20,0,20,1,C,1
699,20,0,20,1,C,1
700,20,0,20,1,C,1
701,25,0,25,1,C,0
702,25,0,25,1,C,0
703,25,0,25,1,C,0
704,25,0,25,1,C,0
705,25,0,25,1,C,0
706,25,0,25,1,C,0
707,25,0,25,1,C,0
708,25,0,25,1,C,0
709,25,0,25,1,C,0
710,25,0,25,1,C,0
711,25,0,25,1,C,0
712,25,0,25,1,C,0
713,25,0,25,1,C,0
714,25,0,25,1,C,0
715,25,0,25,1,C,0
716,25,0,25,1,C,1
